n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  20  extrc  0.153628E+02   0.153315E+00   0.477172E-02   0.641355E+00   0.638155E+00   0.161440E+01   0.165199E+01   0.265583E+02   0.607003E+02   0.258252E-03      0.276500E-01        0.814320E-01        0.178188E+00        0.272462E-01        0.849185E-01        0.173658E+00        0.962114E+00        0.217640E+01        0.436152E+01    -0.154057E-02  -0.123489E-01   0.371513E-03   0.356660E-02   0.181437E-01  -0.846041E-01  -0.631845E-01   0.107966E+01  -0.845162E-01   0.108475E+01   0.550780E-01      0.102994E+04     0.000000E+00    0.100010E+05
  21  extrc  0.162886E+02   0.214236E+00   0.519191E-02   0.586873E+00   0.584971E+00   0.156251E+01   0.163698E+01   0.265624E+02   0.607704E+02   0.186961E-03      0.276493E-01        0.812463E-01        0.178172E+00        0.272471E-01        0.846875E-01        0.173896E+00        0.973367E+00        0.223075E+01        0.451568E+01    -0.244522E-02  -0.108983E-01   0.639486E-03   0.316730E-02   0.214479E-01  -0.102960E+00   0.139255E+00   0.106868E+01   0.120388E+00   0.107744E+01   0.562990E-01      0.142299E+04     0.000000E+00    0.100010E+05
  22  extrc  0.172144E+02   0.275156E+00   0.520202E-02   0.542460E+00   0.541608E+00   0.161411E+01   0.163158E+01   0.265651E+02   0.608226E+02   0.147466E-03      0.276496E-01        0.814276E-01        0.178179E+00        0.272491E-01        0.843806E-01        0.173981E+00        0.986134E+00        0.225980E+01        0.466900E+01    -0.322589E-02  -0.986284E-02   0.871167E-03   0.287893E-02   0.243072E-01  -0.119118E+00   0.205651E+00   0.103477E+01   0.189657E+00   0.104668E+01   0.568342E-01      0.180435E+04     0.000000E+00    0.100010E+05
  23  extrc  0.181402E+02   0.336075E+00   0.507126E-02   0.506080E+00   0.506081E+00   0.161020E+01   0.162625E+01   0.265671E+02   0.608642E+02   0.122404E-03      0.276393E-01        0.814061E-01        0.178131E+00        0.272517E-01        0.841970E-01        0.173961E+00        0.999825E+00        0.231320E+01        0.481917E+01    -0.392696E-02  -0.916254E-02   0.108150E-02   0.271355E-02   0.268640E-01  -0.133181E+00   0.207632E+00   0.995733E+00   0.194173E+00   0.100990E+01   0.571090E-01      0.217398E+04     0.000000E+00    0.100010E+05
  24  extrc  0.190660E+02   0.396994E+00   0.489531E-02   0.476567E+00   0.477235E+00   0.158117E+01   0.162004E+01   0.265687E+02   0.608991E+02   0.105015E-03      0.276408E-01        0.813536E-01        0.178017E+00        0.272528E-01        0.841919E-01        0.173950E+00        0.101334E+01        0.237855E+01        0.496565E+01    -0.456773E-02  -0.853727E-02   0.127515E-02   0.254165E-02   0.291980E-01  -0.145521E+00   0.173820E+00   0.959643E+00   0.163295E+00   0.976037E+00   0.569798E-01      0.253410E+04     0.000000E+00    0.100010E+05
  25  extrc  0.199918E+02   0.457913E+00   0.470614E-02   0.453183E+00   0.454333E+00   0.156601E+01   0.163696E+01   0.265699E+02   0.609290E+02   0.922442E-04      0.276436E-01        0.813348E-01        0.177976E+00        0.272541E-01        0.840115E-01        0.173937E+00        0.102675E+01        0.239460E+01        0.510576E+01    -0.515885E-02  -0.801233E-02   0.145456E-02   0.239412E-02   0.313588E-01  -0.156455E+00   0.119484E+00   0.931909E+00   0.111850E+00   0.950027E+00   0.569958E-01      0.288506E+04     0.000000E+00    0.100010E+05
  26  extrc  0.209176E+02   0.518832E+00   0.451950E-02   0.435395E+00   0.436841E+00   0.160018E+01   0.165873E+01   0.265709E+02   0.609552E+02   0.824778E-04      0.276459E-01        0.813551E-01        0.178020E+00        0.272560E-01        0.840228E-01        0.173601E+00        0.104023E+01        0.240846E+01        0.523579E+01    -0.570917E-02  -0.756653E-02   0.162195E-02   0.226769E-02   0.333802E-01  -0.166237E+00   0.525893E-01   0.915555E+00   0.477585E-01   0.934833E+00   0.567083E-01      0.322676E+04     0.000000E+00    0.100010E+05
  27  extrc  0.218434E+02   0.579750E+00   0.434161E-02   0.422760E+00   0.424321E+00   0.163200E+01   0.167852E+01   0.265718E+02   0.609785E+02   0.747537E-04      0.276472E-01        0.814192E-01        0.178160E+00        0.272525E-01        0.840226E-01        0.173600E+00        0.105355E+01        0.244217E+01        0.535564E+01    -0.622615E-02  -0.721025E-02   0.177816E-02   0.211580E-02   0.352861E-01  -0.175068E+00  -0.220181E-01   0.912431E+00  -0.238899E-01   0.932495E+00   0.566117E-01      0.356027E+04     0.000000E+00    0.100010E+05
  28  extrc  0.227692E+02   0.640669E+00   0.417555E-02   0.414857E+00   0.416343E+00   0.166201E+01   0.169660E+01   0.265726E+02   0.609995E+02   0.684834E-04      0.276527E-01        0.813556E-01        0.178411E+00        0.272457E-01        0.841135E-01        0.173788E+00        0.106661E+01        0.245881E+01        0.546401E+01    -0.671871E-02  -0.699109E-02   0.191846E-02   0.184675E-02   0.370943E-01  -0.183110E+00  -0.101246E+00   0.923479E+00  -0.993306E-01   0.943998E+00   0.570006E-01      0.388645E+04     0.000000E+00    0.100010E+05
  29  extrc  0.236950E+02   0.701588E+00   0.403051E-02   0.411259E+00   0.412473E+00   0.169014E+01   0.171316E+01   0.265732E+02   0.610185E+02   0.633425E-04      0.276594E-01        0.814705E-01        0.179056E+00        0.272526E-01        0.841314E-01        0.173825E+00        0.108037E+01        0.251690E+01        0.555606E+01    -0.719540E-02  -0.674467E-02   0.203796E-02   0.169564E-02   0.388185E-01  -0.190490E+00  -0.183739E+00   0.949485E+00  -0.178761E+00   0.969353E+00   0.570293E-01      0.420198E+04     0.000000E+00    0.100010E+05
  30  extrc  0.246208E+02   0.762506E+00   0.390379E-02   0.411537E+00   0.412337E+00   0.180004E+01   0.176540E+01   0.265738E+02   0.610359E+02   0.590348E-04      0.276602E-01        0.815106E-01        0.178751E+00        0.272539E-01        0.841308E-01        0.173824E+00        0.109438E+01        0.259558E+01        0.563032E+01    -0.765251E-02  -0.648277E-02   0.214803E-02   0.162693E-02   0.404694E-01  -0.197317E+00  -0.268284E+00   0.991173E+00  -0.260774E+00   0.100986E+01   0.565819E-01      0.450858E+04     0.000000E+00    0.100010E+05
  31  extrc  0.255466E+02   0.823425E+00   0.379564E-02   0.415213E+00   0.415515E+00   0.190775E+01   0.183565E+01   0.265743E+02   0.610519E+02   0.553966E-04      0.276782E-01        0.816697E-01        0.217786E+00        0.272789E-01        0.850764E-01        0.173980E+00        0.110908E+01        0.262837E+01        0.581498E+01    -0.808282E-02  -0.605190E-02   0.225806E-02   0.168452E-02   0.420557E-01  -0.203682E+00  -0.351356E+00   0.104782E+01  -0.342795E+00   0.106471E+01   0.553740E-01      0.480445E+04     0.000000E+00    0.100010E+05
  32  extrc  0.264724E+02   0.884343E+00   0.370624E-02   0.421807E+00   0.421536E+00   0.201078E+01   0.190258E+01   0.265748E+02   0.610667E+02   0.523236E-04      0.276989E-01        0.819515E-01        0.217378E+00        0.272994E-01        0.851863E-01        0.174562E+00        0.112509E+01        0.265831E+01        0.642104E+01    -0.848594E-02  -0.582370E-02   0.236941E-02   0.167564E-02   0.435843E-01  -0.209661E+00  -0.436184E+00   0.111984E+01  -0.423416E+00   0.113477E+01   0.551593E-01      0.508666E+04     0.000000E+00    0.100010E+05
  33  extrc  0.273982E+02   0.945261E+00   0.364495E-02   0.430925E+00   0.429985E+00   0.210970E+01   0.196652E+01   0.265752E+02   0.610805E+02   0.497722E-04      0.276896E-01        0.820027E-01        0.216938E+00        0.273121E-01        0.853401E-01        0.175597E+00        0.114403E+01        0.284293E+01        0.705441E+01    -0.887204E-02  -0.567309E-02   0.248643E-02   0.184059E-02   0.450612E-01  -0.215323E+00  -0.520497E+00   0.120879E+01  -0.504860E+00   0.122015E+01   0.542186E-01      0.534722E+04     0.000000E+00    0.100010E+05
  34  extrc  0.283240E+02   0.100618E+01   0.359256E-02   0.442142E+00   0.440506E+00   0.220516E+01   0.202778E+01   0.265756E+02   0.610935E+02   0.481318E-04      0.277230E-01        0.821572E-01        0.245980E+00        0.273174E-01        0.855812E-01        0.193186E+00        0.117761E+01        0.308228E+01        0.629036E+02    -0.924458E-02  -0.525137E-02   0.261610E-02   0.201254E-02   0.464914E-01  -0.220730E+00  -0.602282E+00   0.131134E+01  -0.586146E+00   0.132098E+01   0.547203E-01      0.552969E+04     0.000000E+00    0.100010E+05
